"Author","MinRating","MaxRating","MedRating","AvgRating"
"Angst_King",15,585,303,295.111111111111
"AngstyDathomirians",357,357,357,357
"Anhamirak",97,97,97,97
"AniSkywalker",786,786,786,786
"Ani_Skywalker_1367",21,21,21,21
"Anibydesign",305,305,305,305
"Anidala05",97,299,173,189.666666666667
"AnidalaDefender",119,226,188,180.25
"Anima_princess_1",132,1204,301,395.307692307692
"AnimalKrazed",96,150,123,123
"AnimeIsBad",486,486,486,486
"Anime_lover2741",195,195,195,195
"AnironSidh",1204,1204,1204,1204
"Anise",289,289,289,289
"AnixiStyx",241,241,241,241
"AnjuKuran",333,333,333,333
"Anka_Anny",61,109,85,85
"Ankhart",112,189,125,142
"Ankhetperue",65,65,65,65
"Ann3onymous",180,1209,695.5,677.5
"AnnAntilles",4,37,17,19.7142857142857
"AnnaCipactli12",121,121,121,121
"AnnaDruvez",1412,1412,1412,1412
"AnnaFay",702,1377,1036,1038.33333333333
"AnnaTaure",144,454,299,299
"Anna_Peach",195,195,195,195
"Anna_Voralberg",5,234,40,53.7380952380952
"Anna_Wing",15045,15045,15045,15045
"Anna_banana",225,225,225,225
"Anna_of_Pearl",191,2239,583,899
"Annabelle3606",718,718,718,718
"Annalay",22,4552,2287,2287
"Annapods",263,263,263,263
"Annariel",119,810,352.5,408.5
"AnneAnna",1103,1103,1103,1103
"AnneNEmity",876,876,876,876
"AnneOwl2803",2998,21923,12460.5,12460.5
"AnneSadWalker",13,31,16,20.6
"Annehiggins",1654,4261,2957.5,2957.5
"Anneku",188,13639,6913.5,6913.5
"Annessarose",28,2272,189,586.4
"Annetagonist",944,4094,2815,2667
"Annette_N",73,460,268.5,247.125
"Anneyy",775,775,775,775
"Annie D (scaramouche)",2001,2001,2001,2001
"AnnieHart",1848,1848,1848,1848
"Annie_Walker",51464,51464,51464,51464
"AnodeAntarcSkywalker",299,641,470,470
"Anoel",292,892,592,592
"Anomuran",45,45,45,45
"AnonBlueberry (hippydeath)",281,602,392.5,417
"Anon_Omis",156,156,156,156
"Anonpanda",268,726,611,535
"Anonymous",8,24418,430,854.919732441472
"Anonymous300305",139,139,139,139
"Anonymous48",445,445,445,445
"AnonymousJedi",1238,1238,1238,1238
"AnonymousStoneFairyHero",2182,2182,2182,2182
"AnonymousVow",891,2011,1451,1451
"Anonymous_Me",161,161,161,161
"Anonymous_Skrub",436,436,436,436
"Anonymous_Writer12",42,42,42,42
"Anonymouscow",164,164,164,164
"AnonymouslyDead",321,3257,1235.5,1512.25
"Anoray",12852,12852,12852,12852
"Anorlost",933,1914,1022,1263.14285714286
"AnotherStoryFan",209,209,209,209
"Another_Typo",210,267,238.5,238.5
"Anpoe",230,230,230,230
"AnssiIndustrial",119,671,160,285
"Anthem_of_the_Fates",55,55,55,55
"Antigone_Sycamore",160,562,361,361
"Antillia",212,1100,536.5,596.25
"Antimone",121,121,121,121
"Antisceptic",1216,1216,1216,1216
"AntlersandFangs",631,631,631,631
"Antrodemus",430,430,430,430
"Anxious_Alice_05",613,613,613,613
"Anya25510",160,4245,1686,2030.33333333333
"Anymin",665,665,665,665
"Anynms_Grl",83,430,325,279.333333333333
"Anything404",52,52,52,52
"Aodhan",24,363,188,193.4
"AodhanKingkiller",456,456,456,456
"Aokai",197,197,197,197
"AozoraNoShita",850,850,850,850
"Aphantomfool",135,489,310,328.6
"Aphilaeus",368,1055,685,696.333333333333
"Apokalyptik",378,378,378,378
"ApolloLoki97",1331,1331,1331,1331
"Apollonia_Deserved_Better",160,160,160,160
"Apollos_Slytherin_Daughter",142,506,159,269
"ApomaroMellow",152,787,275,323.647058823529
"ApostolicPrincessinGod",261,270,265.5,265.5
"AppleCherry108",2545,2545,2545,2545
"ApplepieandCinnamon",543,891,595,676.333333333333
"Applesith",768,2979,1257,1657.6
"AppoApples",1822,126432,10147,35408.2222222222
"Apprendere",142,1858,1000,1000
"Aprico",69,188,128.5,128.5
"Apricot (Paradisi)",734,987,860.5,860.5
"Aprilertuile",934,1089,1011.5,1011.5
"AquaWolfGirl",3413,10687,6253.5,6895.16666666667
"Aquaglow2",621,621,621,621
"AquariusNX01",692,692,692,692
"Aquilaaqua",1436,1436,1436,1436
"Aquilea",328,328,328,328
"Aquinique",224,224,224,224
"AquitaineQueen24",738,738,738,738
"ArSommers",9,359,40,85.2666666666667
"AraCian",32,528,47.5,163.75
"Aragorn_II_Elessar",252,1194,723,723
"Aramenialys",3735,3735,3735,3735
"Aramirandme81",299,299,299,299
